,age,campaign,cons.conf.idx,cons.price.idx,contact,day_of_week,default_unknown,default_yes,duration,education_basic.6y,education_basic.9y,education_high.school,education_illiterate,education_professional.course,education_university.degree,education_unknown,emp.var.rate,euribor3m,housing,job_blue-collar,job_entrepreneur,job_housemaid,job_management,job_retired,job_self-employed,job_services,job_student,job_technician,job_unemployed,job_unknown,loan,marital_married,marital_single,marital_unknown,month,nr.employed,pdays,poutcome_nonexistent,poutcome_success,previous,y
1,0.419753086419753,0.0363636363636363,0.6025104602510458,0.6987529228371017,1.0,0.75,0.0,0.0,0.7079981124787547,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9375,0.9580593969621404,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2222222222222222,0.8597353497164448,1.0,1.0,0.0,0.0,0.0
3,0.2469135802469135,0.1272727272727272,0.3389121338912131,0.6691348402182413,0.0,0.75,0.0,0.0,0.4279079916652397,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.9825436408977556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4444444444444443,1.0,1.0,1.0,0.0,0.0,0.0
6,0.1851851851851851,0.0,0.6025104602510458,0.6987529228371017,1.0,0.25,1.0,0.0,0.6673822306124111,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9375,0.9573792790750396,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.2222222222222222,0.8597353497164448,1.0,1.0,0.0,0.0,0.0
10,0.4074074074074074,0.0,0.3765690376569037,0.8823070927513683,1.0,0.75,0.0,0.0,0.5253477691257531,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9594196327363408,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,1.0,1.0,1.0,0.0,0.0,0.0
12,0.3703703703703703,0.0545454545454545,0.4184100418410041,0.2969602494154344,0.0,0.0,0.0,0.0,0.646660205928461,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1041666666666667,0.1466787576513262,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.4257088846880883,1.0,1.0,0.0,0.0,1.0
13,0.1358024691358024,0.0,0.0334728033472799,0.2501948558067042,0.0,0.25,0.0,0.0,0.6789243392652736,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.2641124461573339,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.512287334593573,1.0,1.0,0.0,0.0,1.0
20,0.4320987654320987,0.0181818181818181,0.4518828451882843,0.6527669524551882,0.0,0.25,0.0,0.0,0.7437559071296996,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.0077080027204715,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2222222222222222,0.1705103969754233,1.0,1.0,0.0,0.0,1.0
22,0.5061728395061729,0.0545454545454545,0.3389121338912131,0.6691348402182413,0.0,0.75,1.0,0.0,0.6115259753720838,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9811834051235548,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4444444444444443,1.0,1.0,1.0,0.0,0.0,0.0
27,0.1851851851851851,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.7622810107139464,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4791666666666667,0.0897755610972568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8888888888888888,0.0,0.6666666666666667,0.0,0.0,0.1428571428571428,1.0
35,0.2222222222222222,0.0181818181818181,0.3389121338912131,0.6691348402182413,0.0,1.0,0.0,0.0,0.8082818515689723,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.9814101110859216,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4444444444444443,1.0,1.0,1.0,0.0,0.0,1.0
39,0.2345679012345679,0.0,0.4184100418410041,0.2969602494154344,0.0,0.25,0.0,0.0,0.614731491134803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1041666666666667,0.1054182725005667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.4257088846880883,1.0,1.0,0.0,0.0,1.0
47,0.2222222222222222,0.0909090909090909,0.4393305439330544,0.7848791893998452,0.0,0.25,0.0,0.0,0.7481094227043764,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3541666666666667,0.0455678984357288,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4444444444444443,0.1058601134215493,0.0,0.0,1.0,0.1428571428571428,1.0
48,0.5308641975308641,0.0363636363636363,0.1548117154811712,0.3406079501169188,0.0,0.0,1.0,0.0,0.6226787043279698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.1747902969848107,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1111111111111111,0.512287334593573,0.6666666666666667,0.0,0.0,0.1428571428571428,0.0
51,0.2222222222222222,0.1636363636363636,0.6025104602510458,0.6987529228371017,1.0,1.0,0.0,0.0,0.4776508205223571,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9375,0.9589662208116074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.8597353497164448,1.0,1.0,0.0,0.0,0.0
55,0.2098765432098765,0.0545454545454545,0.1924686192468616,0.2696804364770102,0.0,0.0,0.0,0.0,0.5838049699531718,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.1507594649739288,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.2222222222222222,0.512287334593573,1.0,1.0,0.0,0.0,0.0
56,0.1851851851851851,0.0181818181818181,0.3765690376569037,0.8823070927513683,1.0,0.0,0.0,0.0,0.5212197964741162,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.9809566991611882,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,1.0,1.0,1.0,0.0,0.0,0.0
77,0.2592592592592592,0.0181818181818181,0.8117154811715479,0.0,0.0,0.5,0.0,0.0,0.6669772899389259,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1041666666666667,0.0555429607798685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5555555555555556,0.4257088846880883,1.0,1.0,0.0,0.0,1.0
