,"age;""job"";""marital"";""education"";""default"";""housing"";""loan"";""contact"";""month"";""day_of_week"";""duration"";""campaign"";""pdays"";""previous"";""poutcome"";""emp.var.rate"";""cons.price.idx"";""cons.conf.idx"";""euribor3m"";""nr.employed"";""y"""
2,"37;""services"";""married"";""high.school"";""no"";""yes"";""no"";""telephone"";""may"";""mon"";226;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
4,"56;""services"";""married"";""high.school"";""no"";""no"";""yes"";""telephone"";""may"";""mon"";307;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
6,"59;""admin."";""married"";""professional.course"";""no"";""no"";""no"";""telephone"";""may"";""mon"";139;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
8,"24;""technician"";""single"";""professional.course"";""no"";""yes"";""no"";""telephone"";""may"";""mon"";380;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
10,"41;""blue-collar"";""married"";""unknown"";""unknown"";""no"";""no"";""telephone"";""may"";""mon"";55;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
11,"25;""services"";""single"";""high.school"";""no"";""yes"";""no"";""telephone"";""may"";""mon"";222;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
19,"39;""management"";""single"";""basic.9y"";""unknown"";""no"";""no"";""telephone"";""may"";""mon"";195;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
21,"55;""blue-collar"";""married"";""basic.4y"";""unknown"";""yes"";""no"";""telephone"";""may"";""mon"";262;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
35,"55;""unknown"";""married"";""basic.4y"";""unknown"";""yes"";""no"";""telephone"";""may"";""mon"";336;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
49,"45;""blue-collar"";""married"";""basic.9y"";""no"";""yes"";""no"";""telephone"";""may"";""mon"";225;2;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
